id,dut,categories,test,description,inputs,result,messages
674,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.3 - Peer: Site2-S3,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.2.255.3']
675,Site1-L3,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,The device is not synchronized with the configured NTP server(s): 'unsynchronised'
676,Site1-L3,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
677,Site1-L4,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: Site1-S1 (IP: 192.0.255.1),PASS,
678,Site1-L4,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: Site1-S2 (IP: 192.0.255.2),PASS,
679,Site1-L4,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: Site1-S3 (IP: 192.0.255.3),PASS,
680,Site1-L4,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-L3 (IP: 10.255.251.24),PASS,
681,Site1-L4,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-S1 (IP: 172.30.255.78),PASS,
682,Site1-L4,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-S2 (IP: 172.30.255.80),PASS,
683,Site1-L4,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-S3 (IP: 172.30.255.82),PASS,
684,Site1-L4,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet49/1 - Remote: Site1-L3 Ethernet49/1,PASS,
685,Site1-L4,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet50/1 - Remote: Site1-L3 Ethernet50/1,PASS,
686,Site1-L4,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet51/1 - Remote: Site1-S1 Ethernet4/1,PASS,
687,Site1-L4,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet52/1 - Remote: Site1-S2 Ethernet4/1,PASS,
688,Site1-L4,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet53/1 - Remote: Site1-S3 Ethernet4/1,PASS,
